2025-12-29 23:13:55,706 [INFO] Application starting
2025-12-29 23:13:55,744 [INFO] Screen 0: name=\\.\DISPLAY1 geometry=PyQt5.QtCore.QRect(0, 0, 3840, 2160)
2025-12-29 23:13:55,747 [INFO] Window flags set to Frameless + StayOnTop + Window (not Tool) to accept input reliably
2025-12-29 23:13:55,748 [INFO] Overlay geometry set to union of screens: PyQt5.QtCore.QRect(0, 0, 3840, 2160)
2025-12-29 23:13:55,749 [INFO] Overlay shown; raised and activated
2025-12-29 23:13:55,882 [INFO] Starting global hotkeys listener
2025-12-29 23:13:55,925 [INFO] Entering Qt event loop
2025-12-29 23:13:55,926 [INFO] focusInEvent: overlay focused
2025-12-29 23:13:57,500 [INFO] enterEvent: mouse entered overlay
2025-12-29 23:13:59,428 [INFO] mousePressEvent: button=1 globalPos=PyQt5.QtCore.QPoint(3224, 227) localPos=PyQt5.QtCore.QPoint(3224, 227)
2025-12-29 23:13:59,570 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3225, 230) localPos=PyQt5.QtCore.QPoint(3225, 230)
2025-12-29 23:13:59,575 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 2, 4)
2025-12-29 23:13:59,586 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3230, 238) localPos=PyQt5.QtCore.QPoint(3230, 238)
2025-12-29 23:13:59,589 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 7, 12)
2025-12-29 23:13:59,599 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3234, 244) localPos=PyQt5.QtCore.QPoint(3234, 244)
2025-12-29 23:13:59,599 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3238, 249) localPos=PyQt5.QtCore.QPoint(3238, 249)
2025-12-29 23:13:59,601 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 15, 23)
2025-12-29 23:13:59,608 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3252, 264) localPos=PyQt5.QtCore.QPoint(3252, 264)
2025-12-29 23:13:59,610 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 29, 38)
2025-12-29 23:13:59,616 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3259, 271) localPos=PyQt5.QtCore.QPoint(3259, 271)
2025-12-29 23:13:59,618 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 36, 45)
2025-12-29 23:13:59,629 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3266, 279) localPos=PyQt5.QtCore.QPoint(3266, 279)
2025-12-29 23:13:59,629 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3286, 305) localPos=PyQt5.QtCore.QPoint(3286, 305)
2025-12-29 23:13:59,632 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 63, 79)
2025-12-29 23:13:59,647 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3296, 318) localPos=PyQt5.QtCore.QPoint(3296, 318)
2025-12-29 23:13:59,648 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3306, 333) localPos=PyQt5.QtCore.QPoint(3306, 333)
